Iteraciones,Tiempo_Total_Segundos,Mejor_Score,Media_Score,Std_Score,Media_Tiempo_Iter,Std_Tiempo_Iter,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,criterion,class_weight,max_leaf_nodes,min_impurity_decrease
10000,2492.033986568451,0.7429741379310345,0.67909247492163,0.04076002812976891,0.24914871015548706,0.15352166974337314,224,20,6,8,0.1441943337343982,1,0,0,155,0.002165392094105756
15000,3689.897442817688,0.7442221786833856,0.6788932190438871,0.040749164726263054,0.24593841665585836,0.15056283836769221,24,19,5,20,0.9402229992709915,1,1,0,144,0.00911783953441896
20000,4986.19614815712,0.7448413009404388,0.6786341551724138,0.041404949180637966,0.24925020468235015,0.15351433609903203,284,11,5,11,0.19262576306841867,1,1,0,194,0.007880782235976658
25000,6250.882677316666,0.74421434169279,0.6787736934952978,0.04125344341153235,0.24997187580108643,0.15250358044616633,276,29,20,7,0.24141644890113056,1,0,1,185,0.004794624641057177
