Repeticiones,Generaciones,Poblacion,Tiempo_Total_Segundos,Mejor_Score,Media_Score,Std_Score,Media_Tiempo_Iter,Std_Tiempo_Iter,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,criterion,class_weight,max_leaf_nodes,min_impurity_decrease
5,50,50,1317.1923,0.7467,0.7453,0.0008,263.4385,84.4037,87,18,20,5,0.32727405251276764,1,0,0,17,0.00443934644156112
5,70,50,1653.2474,0.7492,0.7471,0.0017,330.6495,215.7558,295,6,4,4,0.20828601223601878,1,1,0,116,0.008241378541663503
5,100,50,2419.5147,0.7517,0.7469,0.003,483.9029,192.986,87,8,19,3,0.1604048063021491,1,1,0,30,0.003320178049620881
5,50,70,2727.4402,0.7505,0.7473,0.002,545.488,256.0056,64,8,19,8,0.30808690769642455,1,1,0,68,0.0056588245188475056
5,70,70,3101.3644,0.7524,0.7488,0.0029,620.2729,226.9867,101,10,20,1,0.11233085592646105,1,1,0,19,0.0019442676518939717
5,100,70,3250.7273,0.7492,0.7452,0.0021,650.1455,247.016,290,6,6,6,0.22152431889451227,1,1,0,20,0.007626031120112809
5,50,100,3262.1078,0.7498,0.7472,0.0025,652.4216,416.3998,278,6,20,14,0.2019811412631332,1,1,0,17,0.006063269817385897
5,70,100,3572.6744,0.7517,0.75,0.0017,714.5349,218.8108,17,7,18,3,0.31344581485182044,1,1,1,191,0.004609833464926417
5,100,100,4679.7373,0.7574,0.7502,0.0044,935.9475,139.3085,27,7,17,3,0.35743128695225046,1,1,1,31,0.004820455573200811
